Tiedot	Kuukausi	Ulkomaanmatkat
Matkoja, tuhatta matkaa	2012M01	650
Matkoja, tuhatta matkaa	2012M02	760
Matkoja, tuhatta matkaa	2012M03	770
Matkoja, tuhatta matkaa	2012M04	960
Matkoja, tuhatta matkaa	2012M05	960
Matkoja, tuhatta matkaa	2012M06	850
Matkoja, tuhatta matkaa	2012M07	1080
Matkoja, tuhatta matkaa	2012M08	780
Matkoja, tuhatta matkaa	2012M09	680
Matkoja, tuhatta matkaa	2012M10	830
Matkoja, tuhatta matkaa	2012M11	850
Matkoja, tuhatta matkaa	2012M12	810
Matkoja, tuhatta matkaa	2013M01	490
Matkoja, tuhatta matkaa	2013M02	690
Matkoja, tuhatta matkaa	2013M03	760
Matkoja, tuhatta matkaa	2013M04	890
Matkoja, tuhatta matkaa	2013M05	880
Matkoja, tuhatta matkaa	2013M06	820
Matkoja, tuhatta matkaa	2013M07	1020
Matkoja, tuhatta matkaa	2013M08	790
Matkoja, tuhatta matkaa	2013M09	820
Matkoja, tuhatta matkaa	2013M10	900
Matkoja, tuhatta matkaa	2013M11	710
Matkoja, tuhatta matkaa	2013M12	760
Matkoja, tuhatta matkaa	2014M01	570
Matkoja, tuhatta matkaa	2014M02	730
Matkoja, tuhatta matkaa	2014M03	810
Matkoja, tuhatta matkaa	2014M04	920
Matkoja, tuhatta matkaa	2014M05	950
Matkoja, tuhatta matkaa	2014M06	870
Matkoja, tuhatta matkaa	2014M07	1100
Matkoja, tuhatta matkaa	2014M08	770
Matkoja, tuhatta matkaa	2014M09	770
Matkoja, tuhatta matkaa	2014M10	790
Matkoja, tuhatta matkaa	2014M11	800
Matkoja, tuhatta matkaa	2014M12	710
Matkoja, tuhatta matkaa	2015M01	610
Matkoja, tuhatta matkaa	2015M02	660
Matkoja, tuhatta matkaa	2015M03	830
Matkoja, tuhatta matkaa	2015M04	970
Matkoja, tuhatta matkaa	2015M05	980
Matkoja, tuhatta matkaa	2015M06	940
Matkoja, tuhatta matkaa	2015M07	1020
Matkoja, tuhatta matkaa	2015M08	770
Matkoja, tuhatta matkaa	2015M09	830
Matkoja, tuhatta matkaa	2015M10	810
Matkoja, tuhatta matkaa	2015M11	810
Matkoja, tuhatta matkaa	2015M12	790
Matkoja, tuhatta matkaa	2016M01	520
Matkoja, tuhatta matkaa	2016M02	700
Matkoja, tuhatta matkaa	2016M03	870
Matkoja, tuhatta matkaa	2016M04	910
Matkoja, tuhatta matkaa	2016M05	1040
Matkoja, tuhatta matkaa	2016M06	950
Matkoja, tuhatta matkaa	2016M07	1020
Matkoja, tuhatta matkaa	2016M08	890
Matkoja, tuhatta matkaa	2016M09	800
Matkoja, tuhatta matkaa	2016M10	920
Matkoja, tuhatta matkaa	2016M11	830
Matkoja, tuhatta matkaa	2016M12	820
Matkoja, tuhatta matkaa	2017M01	590
Matkoja, tuhatta matkaa	2017M02	700
Matkoja, tuhatta matkaa	2017M03	870
Matkoja, tuhatta matkaa	2017M04	910
Matkoja, tuhatta matkaa	2017M05	960
Matkoja, tuhatta matkaa	2017M06	1050
Matkoja, tuhatta matkaa	2017M07	1160
Matkoja, tuhatta matkaa	2017M08	830
Matkoja, tuhatta matkaa	2017M09	880
Matkoja, tuhatta matkaa	2017M10	900
Matkoja, tuhatta matkaa	2017M11	880
Matkoja, tuhatta matkaa	2017M12	760
Matkoja, tuhatta matkaa	2018M01	570
Matkoja, tuhatta matkaa	2018M02	660
Matkoja, tuhatta matkaa	2018M03	850
Matkoja, tuhatta matkaa	2018M04	1030
Matkoja, tuhatta matkaa	2018M05	1050
Matkoja, tuhatta matkaa	2018M06	1050
Matkoja, tuhatta matkaa	2018M07	1020
Matkoja, tuhatta matkaa	2018M08	980
Matkoja, tuhatta matkaa	2018M09	800
Matkoja, tuhatta matkaa	2018M10	870
Matkoja, tuhatta matkaa	2018M11	840
Matkoja, tuhatta matkaa	2018M12	750
Matkoja, tuhatta matkaa	2019M01	780
Matkoja, tuhatta matkaa	2019M02	850
Matkoja, tuhatta matkaa	2019M03	810
Matkoja, tuhatta matkaa	2019M04	890
Matkoja, tuhatta matkaa	2019M05	860
Matkoja, tuhatta matkaa	2019M06	880
Matkoja, tuhatta matkaa	2019M07	1110
Matkoja, tuhatta matkaa	2019M08	850
Matkoja, tuhatta matkaa	2019M09	860
Matkoja, tuhatta matkaa	2019M10	940
Matkoja, tuhatta matkaa	2019M11	720
Matkoja, tuhatta matkaa	2019M12	870
